Control1_2.8	Control1_3.8	Control1_4.1	Control1_7.3	Control2_3.3	Control2_6.5	Control2_7.6	Control2_8.1	Control2_8.9	Control3_3.1	Control3_3.6	Control3_4.9	Control3_5.3	Control3_5.7	Control4_1.8	Control4_2.6	Control4_5.3	Control4_8.1	Control5_1.9	Control5_3.6	Control5_7.4	Control5_9.2	Case1_5.1	Case1_7	Case1_7.6	Case2_4.1	Case2_6.5	Case2_8.4	Case2_8.9	Case3_1.9	Case3_5.9	Case3_7.4	Case3_8.1	Case4_6.4	Case4_6.4	Case4_7.1	Case4_7.6
318	7.05390025	7.25293475	7.22838075	7.35239125	7.30044975	7.19642125	7.43077675	7.37286425	7.5405835	7.55267825	7.285333	7.38063625	7.27874225	7.62427775	7.263959	7.06808625	7.328405	7.37544275	7.10497675	7.36703925	7.56198875	7.424317	6.96516375	7.01378375	7.47088375	7.34736025	7.240393	7.355735	7.2146965	7.40102725	7.17877725	7.3581475	7.3878585	7.444614	7.29845	7.1251635	7.26354925
1716	11.07117825	11.16546275	11.34875625	11.15549525	11.29636025	11.1919135	11.44898125	11.08020125	11.27997675	11.56327475	11.478565	11.39580125	11.09149325	11.30911425	11.24528175	11.1785775	11.213961	11.10078575	11.2799145	11.5810475	11.404389	11.46147525	11.097772	11.1157295	11.3496705	11.23517625	11.07795125	11.30190975	11.58318175	11.29914975	11.24979275	11.3794015	11.17293675	11.44787775	11.37344025	11.1434345	11.5260755
55276	9.7458295	9.71182175	9.68463375	9.73338	9.5992525	9.876935	9.681554	9.62883725	9.56535375	9.83124175	9.42774075	9.143362	9.74578275	9.8378415	9.742905	9.523049	9.57262625	9.67831375	9.93480325	9.97829175	9.91553825	9.6878635	9.93113625	9.68623275	9.96223625	9.71132325	9.81270925	9.3634255	9.740587	9.70780275	9.44999	9.67623025	9.46091425	9.69100975	9.802046	9.82759125	9.8795845
11164	8.945544	9.06262675	9.16900825	9.111886	9.19978275	9.190039	8.87407325	8.77329275	9.2114715	9.28992025	8.9726415	8.68564	9.08152525	9.1478785	9.302278	8.7948775	9.19611725	9.0299145	9.16526925	9.44192925	8.73332275	9.1009155	8.99852175	9.21650675	9.5458575	9.102424	9.2848375	8.899999	9.4747135	9.2024455	8.8043305	9.186136	8.74533225	9.1573825	9.419887	9.178041	9.20494525
2272	9.4455855	9.666829	9.857068	10.1522675	9.590271	9.820834	9.93574825	9.72548925	9.5654545	10.40002025	9.90566425	9.90584625	9.80008475	10.225777	9.84611575	9.126768	9.57010025	10.03560425	9.98876675	10.140666	10.317036	9.94204575	9.81757675	9.518031	9.39985825	10.273636	9.8816195	9.967258	10.154876	9.454384	8.98476525	9.5992305	9.91589425	9.5071735	9.85566975	9.61635125	10.060713
1633	9.93050375	10.515907	10.128559	9.90700625	10.21403875	10.47770925	10.02325225	10.2517075	10.31380675	10.6843955	10.54916075	10.4547005	10.0104645	10.077747	10.19671225	10.17909825	10.2061245	10.190618	10.12850075	10.427097	10.316708	10.37699675	10.1691895	10.54935625	10.62505475	10.1852725	10.172503	10.215968	10.5621715	10.37470725	9.95577475	10.324238	10.73721025	10.36941775	10.3489955	10.3255655	10.47991025
84284.1	7.493853	7.78948425	7.578441	7.5065685	7.43459325	7.5184915	7.427147	7.71186875	7.4446	7.748623	7.27165925	7.4250945	7.509192	7.71410875	7.592679	7.4122275	7.522888	7.66216025	7.66583175	7.95770475	7.709388	7.56617975	7.72995375	7.7859925	7.88314025	7.63765275	7.59574275	7.5657625	7.81724175	7.541603	7.4570935	7.767132	7.41524875	7.4715575	7.9683955	7.6610575	7.5555355
646625	6.25409725	6.30960825	6.32823125	6.27421875	6.370044	6.365625	6.3282465	6.5133965	6.320698	6.500423	6.4919695	6.49327425	6.36665375	6.47828225	6.3581675	6.51665125	6.34153425	6.29278175	6.30811325	6.2332955	6.318952	6.24052675	6.220496	6.44455275	6.258482	6.41925825	6.326871	6.26799475	6.4864335	6.501394	6.43848175	6.43643475	6.38235525	6.40111875	6.316483	6.3842925	6.35387325
5150	10.90845825	10.58908375	10.813124	11.106133	10.6116	11.167106	10.58577425	10.601347	10.9341355	10.98698025	10.87254525	10.57842225	10.677235	11.15220375	11.03067525	10.35549275	10.36438825	10.920209	10.810929	11.11789025	11.00578275	10.72092475	10.98214525	10.79797425	10.8522575	10.62487175	10.95278475	11.03069725	10.70574675	10.57381075	9.380337	10.61979925	10.215526	10.57618875	10.89880075	10.96814325	11.3413125
5236	9.96570225	10.2515615	10.078618	9.73911875	10.184188	10.081177	9.93287575	10.10429875	10.05981525	9.81607475	9.781576	10.10668925	10.036884	9.6411465	10.2121075	10.04718775	10.09936625	9.77192225	9.94396275	9.87375225	9.98190075	9.98433175	9.9073995	10.01707625	9.937408	10.275989	10.2515345	9.77048225	9.78177825	10.22162125	9.97959525	10.182775	10.09508275	10.081303	10.16024775	10.231139	9.87098325
131870	7.72221	7.9517045	7.37301	7.2272685	7.8924455	7.58445525	7.316756	7.6331565	7.368701	7.278362	7.776091	7.53570275	7.839925	7.72748725	7.66962025	7.838552	7.407275	7.21965575	7.191779	7.57948975	7.880529	7.55588225	7.693469	7.176383	7.46067975	7.224949	7.4571085	7.70614625	7.70637475	7.57943075	7.09341075	7.36064725	7.56391825	7.875831	7.67279425	8.226917	7.86398525
50808	9.4528175	9.67167875	9.4652825	9.62571175	9.70745775	9.67216425	9.65556175	9.50558675	9.72590275	9.8019305	10.076748	9.794394	9.5932975	9.79224375	9.41690175	9.65870725	9.644235	9.74669475	9.82477975	9.59028225	9.98344025	10.0255745	9.33039875	9.62782125	9.643278	9.49064875	9.64288625	9.785082	9.670593	9.76075925	9.48027775	9.6268705	9.89780875	9.88390575	9.63959975	9.61256525	9.8148045
5169	7.90819825	7.9614015	7.62720975	8.14210475	7.66267675	7.7059735	7.46217575	7.44795625	7.76261925	7.5862505	7.22176225	7.75851575	7.84870675	7.72773675	7.92353975	8.27285525	7.5905385	7.944273	7.5678115	7.4631895	7.51609425	7.86694725	7.289505	7.49927725	8.2086425	7.6543515	7.73076725	7.49291225	7.87077925	7.748405	7.2828985	7.03690025	7.5901075	7.763421	7.71410775	7.97291325	7.75596575
